sep = ;
duration, ns;size;type;message
205100;209;vector;char;
392300;209;deque;char;
371800;209;list;char;
7702500;10000;vector;int;
33109600;10000;deque;int;
6290100;10000;list;int;
9703900;10000;vector;double;
40336900;10000;deque;double;
7758500;10000;list;double;
83434800;11242;vector;string;
117570900;11242;deque;string;
24103600;11242;list;string;
