sep = ;
duration, ns;size;type;message
228200;209;vector;char;
113700;209;deque;char;
143400;209;list;char;
57272200;10000;vector;int;
3889800;10000;deque;int;
9263600;10000;list;int;
92931500;10000;vector;double;
2858200;10000;deque;double;
5306400;10000;list;double;
19472557800;11242;vector;string;
10527100;11242;deque;string;
15468000;11242;list;string;
